it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
820000,0.5379,0.5379,-7.0535,-6.7991,0.0150,0.0064,0.9915,0.0120,0.0114,0.9546,10.00,0.200,0.690,0.800,0.0620,0.0613,0.0076,0.00220,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00146
820200,0.5379,0.5379,-7.0924,-6.8981,0.0152,0.0122,0.8799,0.0132,0.0152,0.8635,10.00,0.200,0.690,0.800,0.0444,0.0553,0.0093,0.00415,0.00220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00220
820400,0.5379,0.5379,-7.0924,-6.8981,0.0143,0.0176,0.9269,0.0107,0.0238,1.0589,10.00,0.200,0.690,0.800,0.0399,0.0282,0.0132,0.00537,0.00464,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00220
820600,0.5379,0.5379,-7.0346,-6.8714,0.0169,0.0151,0.8905,0.0131,0.0094,0.7325,10.00,0.200,0.690,0.800,0.0601,0.0517,0.0103,0.00195,0.00391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00244
820800,0.5379,0.5379,-7.0346,-6.8714,0.0151,0.0139,0.8127,0.0164,0.0143,0.7048,10.00,0.200,0.690,0.800,0.0437,0.0343,0.0132,0.00342,0.00415,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00366
821000,0.5379,0.5379,-7.0346,-6.8714,0.0129,0.0085,1.0232,0.0121,0.0137,0.8343,10.00,0.200,0.690,0.800,0.0555,0.0572,0.0090,0.00366,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00220
821200,0.5379,0.5379,-7.0290,-6.7384,0.0172,0.0121,0.8532,0.0175,0.0182,0.7023,10.00,0.200,0.690,0.800,0.0436,0.0318,0.0100,0.00366,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00293
821400,0.5379,0.5379,-7.0290,-6.7384,0.0194,0.0226,1.0040,0.0126,0.0137,0.9095,10.00,0.200,0.690,0.800,0.0519,0.0429,0.0093,0.00146,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00317
821600,0.5379,0.5379,-7.0202,-6.8699,0.0160,0.0184,0.9122,0.0128,0.0131,0.6847,10.00,0.200,0.690,0.800,0.0595,0.0588,0.0073,0.00146,0.00269,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00195
821800,0.5379,0.5379,-7.0202,-6.8699,0.0137,0.0176,0.8362,0.0173,0.0115,0.7864,10.00,0.200,0.690,0.800,0.0483,0.0402,0.0105,0.00269,0.00415,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00220
822000,0.5379,0.5379,-7.0202,-6.8699,0.0099,0.0137,0.9900,0.0089,0.0129,0.7363,10.00,0.200,0.690,0.800,0.0429,0.0507,0.0100,0.00439,0.00244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00244
